,IR,ABD,ABD,,Abadan,,,,,,,Абадан,,,,Абадан,,,,1,,
,KI,ABF,ABF,,Abaiang,,,,,,,Абайянг,,,,Абайянг,,,,1,,
,RU,ABA,ABA,,Abakan,,,,,,,Абакан,,,,Абакан,,,,1,,
,PG,ABW,ABW,,Abau,,,,,,,Абау,,,,Абау,,,,1,,
,MR,BGH,BGH,,Abbaye,,,,,,,Аббейе,,,,Аббейе,,,,1,,
,CA,YXX,YXX,BC,Abbotsford,,,,,,,Эбботсфорд,,,,Эбботсфорд,,,,1,,
,PK,AAW,AAW,,Abbottabad,,,,,,,Абботтабад,,,,Абботтабад,,,,1,,
,YE,EAB,EAB,,Abbse,,,,,,,Аббсе,,,,Аббсе,,Abbs,,1,,
,TD,AEH,AEH,,Abecher,,,,,,,Абечер,,,,Абечер,,,,1,,
,KI,AEA,AEA,,Abemama Atoll,,,,,,,Абемама-Атолл,,,,Абемама-Атолл,,,,1,,
,CI,OGO,OGO,,Abengourou,,,,,,,Абенгуру,,,,Абенгуру,,,,1,,
,US,HQM,HQM,WA,Aberdeen,,,,,,,Абердин,,,,Абердин,,,,1,,
,US,ABR,ABR,SD,Aberdeen Mnpl,,,Aberdeen Municipal,Aberdeen Municipal,Aberdeen Municipal,,Абердин Мунисипал,,,,Абердин Мунисипал,,Aberdeen Municipal,,1,,
,SA,AHB,AHB,,Abha,,,,,,,Абха,,,,Абха,,,,1,,
,US,ABI,ABI,TX,Abilene Mnpl,,,Abilene Municipal,Abilene Municipal,Abilene Municipal,,Абилин Мунисипал,,,,Абилин Мунисипал,,Abilene Municipal,,1,,
,AU,ABG,ABG,QL,Abingdon,,,,,,,Абингдон,,,,Абингдон,,,,1,,
,CI,ABO,ABO,,Aboisso,,,,,,,Абойссо,,,,Абойссо,,,,1,,
,TD,AOD,AOD,,Abou Deia,,,,,,,Абу-Дейя,,,,Абу-Дейя,,,,1,,
,DZ,CFK,CFK,,Aboubakr Belkaid,,,Abou Bakr Belkaid,Abou Bakr Belkaid,Abou Bakr Belkaid,,,,,,,,Abou Bakr Belkaid,,1,,
,MX,AJS,AJS,,Abreojos,,,,,,,Абреохос,,,,Абреохос,,,,1,,
,IT,PSR,PSR,,Abruzzo,,,,,,,Либери,,,,Либери,,,,1,,
,AE,AUH,AUH,,Abu Dhabi Intl,,,Abu Dhabi International,Abu Dhabi International,Abu Dhabi International,,Халықаралық Абу-Даби Әуежайы,,,,Абу-Даби Интернешнл,,International,,1,,
,IR,AEU,AEU,,Abu Musa Airport,,,Abu Musa,Abu Musa,Abu Musa,,Абу-Муса,,,,Абу-Муса,,Abu Musa,,1,,
,EG,AUE,AUE,,Abu Rudeis,,,,,,,Абу-Рудеис,,,,Абу-Рудеис,,,,1,,
,EG,ABS,ABS,,Abu Simbel,,,,,,,Абу-Симбель,,,,Абу-Симбель,,,,1,,
,NG,ABV,ABV,,Abuja Intl,,,Abuja International,Abuja International,Abuja International,,Халықаралық Абуджа Әуежайы,,,,Абуджа Интернешнл,,Abuja Internacional,,1,,
,US,ARA,ARA,LA,Acadiana Rgnl,,,Acadiana Regional,Acadiana Regional,Acadiana Regional,,Акадиана,,,,Акадиана,,Acadiana Regional,,1,,
,CO,ACD,ACD,,Acandi,,,,,,,Аканди,,,,Аканди,,,,1,,
,CO,ARF,ARF,,Acaricuara,,,,,,,Акарикуара,,,,Акарикуара,,,,1,,
,VE,AGV,AGV,,Acarigua,,,,,,,Акарикуа,,,,Акарикуа,,,,1,,
,US,MFV,MFV,VA,Accomack County,,,,,,,Аккомак Каунти,,,,Аккомак Каунти,,,,1,,
,RU,ACS,ACS,,Achinsk,,,,,,,Ачинск,,,,Ачинск,,,,1,,
,ID,SRG,SRG,,Achmad Uani,,,,,,,Ашмад Уани,,,,Ашмад Уани,,,,1,,
,PA,ACU,ACU,,Achutupo,,,,,,,Ахутупо,,,,Ахутупо,,,,1,,
,SD,AAD,AAD,,Ad Dabbah,,,,,,,Эд-Даба,,,,Эд-Даба,,,,1,,
,US,ADT,ADT,OK,Ada,,,,,,,Ада,,,,Ада,,,,1,,
,US,ADK,ADK,AK,Adak Island,,,,,,,Адак-Айленд,,,,Адак-Айленд,,,,1,,
,OM,AOM,AOM,,Adam,,,,,,,,,,,,,,,1,,
,SD,AEE,AEE,,Adareil,,,,,,,,,,,,,,,1,,
,US,DFW,ADS,TX,Addison,,,Addison Vliegveld,Addison Airport,Addison Aéroport,,Эддисон,,,,Эддисон,,Addison Aeropuerto,,1,,
,AU,ADL,ADL,SA,Adelaide,,,,,,,Аделаида,,,,Аделаида,,,,1,,
,YE,ADE,ADE,,Aden Intl,,,Aden International,Aden International,Aden International,,Аден  Аден Әуежайы,,,,Аден Интернешнл,,Aden Internacional,,1,,
,ID,SOC,SOC,,Adi Sumarmo,,,,,,,Ади Сумармо,,,,Ади Сумармо,,,,1,,
,US,SLK,SLK,NY,Adirondack,,,,,,,Адирондек,,,,Адирондек,,,,1,,
,ID,JOG,JOG,,Adisutjipto,,,,,,,Адисутжипто,,,,Адисутжипто,,,,1,,
,TR,ADF,ADF,,Adiyaman,,,,,,,Адыяман,,,,Адыяман,,,,1,,
,TR,IZM,ADB,,Adnan Menderes,,,,,,,Аднан Мендерес,,,,Аднан Мендерес,,,,1,,
,ID,AEG,AEG,,Aek Godang,,,,,,,Эк-Годан,,,,Эк-Годан,,,,1,,
,SB,GTA,GTA,,Aerodrom,,,Gatokae Aerodrom,Gatokae Aerodrom,Gatokae Aerodrom,,Гатоке,,,,Гатоке,,Gatokae Aerodrom,,1,,
,SB,KWS,KWS,,Aerodrome,,,Kwailabesi Aerodrom,Kwailabesi Aerodrom,Kwailabesi Aerodrom,,Квайлабеси,,,,Квайлабеси,,Kwailabesi Aerodrom,,1,,
,US,INS,INS,NV,Af Aux,,,,,,,Индиан-Спрингз,,,,Индиан-Спрингз,,,,1,,
,US,HST,HST,FL,Afb,,,,,,,Хоумстед,,,,Хоумстед,,,,1,,
,US,BYH,BYH,AR,Afb,,,,,,,Блитевилль,,,,Блитевилль,,,,1,,
,US,MUO,MUO,ID,Afb,,,,,,,Маунтин-Хоум,,,,Маунтин-Хоум,,,,1,,
,LR,SNI,XSA,,Afc,,,,,,,АФС,,,,АФС,,,,1,,
,BR,CWB,CWB,PR,Afonso Pena,,,,,,,Афонсо Пена,,,,Афонсо Пена,,,,1,,
,PG,AFR,AFR,,Afore,,,,,,,Афоре,,,,Афоре,,,,1,,
,US,PML,PML,AK,Afs,,,,,,,Порт-Моллер,,,,Порт-Моллер,,,,1,,
,US,OHC,OHC,AK,Afs,,,,,,,Нортист-Кейп,,,,Нортист-Кейп,,,,1,,
,US,AFO,AFO,WY,Afton Mnpl,,,Afton Municipal,Afton Municipal,Afton Municipal,,Афтон Мунисипал,,,,Афтон Мунисипал,,Afton Municipal,,1,,
,SB,AFT,AFT,,Afutara Aerodrome,,,,,Afutara Aérodrome,,Афутара,,,,Афутара,,,,1,,
,NE,AJY,AJY,,Agades,,,,,,,Агадес,,,,Агадес,,,,1,,
,GU,GUM,NGM,,Agana Nas,,,,,,,Агана Нас,,,,Агана Нас,,,,1,,
,IN,AGX,AGX,,Agatti Island,,,,,,,Агатти-Айленд,,,,Агатти-Айленд,,,,1,,
,PG,AUP,AUP,,Agaun,,,,,,,Агаун,,,,Агаун,,,,1,,
,ZA,AGZ,AGZ,,Aggeneys,,,,,,,Аггенейз,,,,Аггенейз,,,,1,,
,IR,AKW,AKW,,Aghajari,,,,,,,,,,,,,,,1,,
,AU,AGW,AGW,QL,Agnew,,,,,,,Агнью,,,,Агнью,,,,1,,
,CH,LUG,LUG,,Agno,,,Lugano,Lugano,Lugano,,Лугано,,,,Лугано,,Lugano,,1,,
,ES,RJL,RJL,,Agoncillo,,,,,,,,,,,,,,,1,,
,TR,AJI,AJI,,Agri,,,,,,,Агры,,,,Агры,,,,1,,
,CO,ACL,ACL,,Aguaclara,,,,,,,Агуаклара,,,,Агуаклара,,,,1,,
,MX,AGU,AGU,,Aguascalientes,,,,,,,Агуаскалиентес,,,,Агуаскалиентес,,,,1,,
,CO,OCV,OCV,,Aguasclaras,,,,,,,Агуаскларас,,,,Агуаскларас,,,,1,,
,DZ,TMR,TMR,,Aguenar,,,,,,,Агуэмар,,,,Агуэмар,,,,1,,
,JP,AGJ,AGJ,,Aguni,,,,,,,Агуни,,,,Агуни,,,,1,,
,PF,AHE,AHE,,Ahe,,,,,,,Ахе,,,,Ахе,,,,1,,
,IN,AMD,AMD,,Ahmedabad,,,,,,,Ахмедабад,,,,Ахмедабад,,,,1,,
,HN,AHS,AHS,,Ahuas,,,,,,,Ахуас,,,,Ахуас,,,,1,,
,IR,AWZ,AWZ,,Ahwaz,,,,,,,Ахваз,,,,Ахваз,,,,1,,
,NA,AIW,AIW,,Ai Ais,,,,,,,Ай-Аис,,,,Ай-Аис,,,,1,,
,US,AIK,AIK,SC,Aiken Mnpl,,,Aiken Municipal,Aiken Municipal,Aiken Municipal,,Айкен Мунисипал,,,,Айкен Мунисипал,,Aiken Municipal,,1,,
,PA,AIL,AIL,,Ailigandi,,,,,,,Айлиганди,,,,Айлиганди,,,,1,,
,MH,AIP,AIP,,Ailinglapalap Isl,,,Ailinglapalap Island,Ailinglapalap Island,Ailinglapalap Island,,Айлинглапалап-Айленд,,,,Айлинглапалап-Айленд,,Ailinglapalap Island,,1,,
,MH,AIM,AIM,,Ailuk Island,,,,,,,Айлук-Айленд,,,,Айлук-Айленд,,,,1,,
,DZ,OGX,OGX,,Ain El Beida,,,,,,,Айн-Бейда,,,,Айн-Бейда,,,,1,,
,US,ANW,ANW,NE,Ainsworth,,,,,,,Айнсворт,,,,Айнсворт,,,,1,,
,PG,AIE,AIE,,Aiome,,,,,,,Айоме,,,,Айоме,,,,1,,
,MR,AEO,AEO,,Aioun El Atrouss,,,,,,,Айун-эль-Атруа,,,,Айун-эль-Атруа,,,,1,,
,IT,DCI,DCI,,Air Base,,,,,,,Р. Дечимоманни,,,,Р. Дечимоманни,,,,1,,
,ES,OZP,OZP,,Air Base,,,,,,,Морон,,,,Морон,,,,1,,
,DE,RMS,RMS,,Air Base,,,Ramstein,Ramstein,Ramstein,,Рамштейн,,,,Рамштейн,,Ramstein,,1,,
,DE,GKE,GKE,,Air Base,,,,,,,Гайленкирхен,,,,Гайленкирхен,,,,1,,
,NL,LWR,LWR,,Air Base,,,,,,,Леуварден,,,,Леуварден,,,,1,,
,IT,AVB,AVB,,Air Base,,,,,,,Авиано,,,,Авиано,,,,1,,
,DE,SPM,SPM,,Air Base,,,,,,,Шпангдальем,,,,Шпангдальем,,,,1,,
,AF,OAI,OAI,,Air Field,,,,,,,,,,,,,,,1,,
,US,BOI,BOI,ID,Air Term Gowen Fld,,,,,,,Эйр-Терм-Говен,,,,Эйр-Терм-Говен,,,,1,,
,US,YKM,YKM,WA,Air Terminal,,,Yakima Air Terminal,Yakima Air Terminal,Yakima Air Terminal,,Эйр Терминал,,,,Эйр Терминал,,Yakima Air Terminal,,1,,
,US,SEF,SEF,FL,Air Terminal,,,Sebring Air Terminal,Sebring Air Terminal,Sebring Air Terminal,,Эйр Терминал,,,,Эйр Терминал,,Sebring Air Terminal,,1,,
,US,HWD,HWD,CA,Air Terminal,,,Hayward Air Terminal,Hayward Air Terminal,Hayward Air Terminal,,Эйр Терминал,,,,Эйр Терминал,,Hayward Air Terminal,,1,,
,PW,ROR,ROR,,Airai,,,,,,,Аирай,,,,Аирай,,,,1,,
,KR,KUZ,KUZ,,Airbase,,,,,,,Эйрбейз,,,,Эйрбейз,,,,1,,
,MY,LBP,LBP,,Airfield,,,Long Banga Airfield,Long Banga Airfield,Long Banga Airfield,,Эйрфилд,,,,Эйрфилд,,Long Banga Airfield,,1,,
,MH,AIC,AIC,,Airok,,,,,,,Айрок,,,,Айрок,,,,1,,
,US,MAF,MDD,TX,Airpark,,,Midland Airpark,Midland Airpark,Midland Airpark,,Эйрпарк,,,,Эйрпарк,,Midland Airpark,,1,,
,US,VIK,VIK,AK,Airstrip,,,Kavik Airstrip,Kavik Airstrip,Kavik Airstrip,,Эйрстрип,,,,Эйрстрип,,Kavik Airstrip,,1,,
,FJ,MNF,MNF,,Airstrip,,,,,,,Мана-Айлендс,,,,Мана-Айлендс,,,,1,,
,PG,ATP,ATP,,Airstrip,,,Aitape Airstrip,Aitape Airstrip,Aitape Airstrip,,Эйрстрип,,,,Эйрстрип,,Aitape Airstrip,,1,,
,GY,AHL,AHL,,Aishalton,,,,,,,Аисхалтон,,,,Аисхалтон,,,,1,,
,CK,AIT,AIT,,Aitutaki,,,,,,,Аитутаки,,,,Аитутаки,,,,1,,
,PG,AYU,AYU,,Aiyura,,,,,,,Айюра,,,,Айюра,,,,1,,
,IN,AJL,AJL,,Aizawl,,,,,,,Айзаул,,,,Айзаул,,,,1,,
,US,AKK,AKK,AK,Akhiok Spb,,,,,,,Ахиок,,,,Ахиок,,,,1,,
,US,AKI,AKI,AK,Akiak,,,,,,,Акиак,,,,Акиак,,,,1,,
,GA,AKE,AKE,,Akieni,,,,,,,Акиени,,,,Акиени,,,,1,,
,JP,AXT,AXT,,Akita,,,,,,,Акита,,,,Акита,,,,1,,
,MR,AJJ,AJJ,,Akjoujt,,,,,,,Акжужт,,,,Акжужт,,,,1,,
,CA,LAK,LAK,NT,Aklavik,,,,,,,Аклавик,,,,Аклавик,,,,1,,
,IN,AKD,AKD,,Akola,,,,,,,Акола,,,,Акола,,,,1,,
,US,CAK,CAK,OH,Akron,,,,,,,Акрон,,,,Акрон,,,,1,,
,US,CAK,AKC,OH,Akron Fulton,,,,,,,Акрон Фалтон,,,,Акрон Фалтон,,,,1,,
,CN,AKU,AKU,,Aksu,,,,,,,Аксу,,,,Аксу,,,,1,,
,KZ,SCO,SCO,,Aktau,,,,,,,Ақтау,,,,Актау,,,,1,,
,GR,PVK,PVK,,Aktion,,,,,,,Актион,,,,Актион,,,,1,,
,KZ,AKX,AKX,,Aktyubinsk,,,,,,,Ақтөбе,,,,Актюбинск,,,,1,,
,CA,AKV,AKV,QC,Akulivik,,,,,,,Акувилик,,,,Акувилик,,,,1,,
,NG,AKR,AKR,,Akure,,,,,,,Акере,,,,Акере,,,,1,,
,IS,AEY,AEY,,Akureyri,,,,,,,Акурейри,,,,Акурейри,,,,1,,
,US,KQA,KQA,AK,Akutan,,,,,,,Акутан,,,,Акутан,,,,1,,
,SY,DEZ,DEZ,,Al,,,,,,,Аль,,,,Аль,,Deir Ez Zor,,1,,
,AE,AAN,AAN,,Al Ain,,,,,,,Эль-Аин,,,,Эль-Аин,,International,,1,,
,SA,ABT,ABT,,Al Aqiq,,,,,,,Аль-Акик,,,,Аль-Акик,,Al-Aqiq,,1,,
,EG,AAC,AAC,,Al Arish,,,,,,,Аль-Ариш,,,,Аль-Ариш,,,,1,,
,IQ,IQA,IQA,,Al Asad Ab,,,,,,,,,,,,,,,1,,
,YE,AAY,AAY,,Al Ghaydah,,,,,,,Аль-Гайда,,,,Аль-Гайда,,,,1,,
,YE,TAI,TAI,,Al Janad,,,,,,,Ай-Джанад,,,,Ай-Джанад,,International,,1,,
,AE,DXB,DWC,,Al Maktoum Intl,,,,,,,,,,,,,,,1,,
,MA,AGA,AGA,,Al Massira,,,,,,,Агадир Альмассира,,,,Агадир Альмассира,,,,1,,
,IQ,TQD,TQD,,Al Taqaddum Ab,,,,,,,,,,,,,,,1,,
,SY,SOR,SOR,,Al Thaurah,,,,,,,Эль-Таура,,,,Эль-Таура,,,,1,,
,PH,AAV,AAV,,Alah,,,,,,,Алах,,,,Алах,,,,1,,
,SA,HOF,HOF,,Alahsa,,,,,,,Аль-Хаса,,,,Аль-Хаса,,Al-ahsa,,1,,
,US,AUK,AUK,AK,Alakanuk,,,,,,,Алаканук,,,,Алаканук,,,,1,,
,EG,DBB,DBB,,Alalamain Intl,,,,,,,,,,,,,,,1,,
,US,ALM,ALM,NM,Alamogordo Mnpl,,,Alamogordo Municipal,Alamogordo Municipal,Alamogordo Municipal,,Аламогордо Мунисипал,,,,Аламогордо Мунисипал,,Alamogordo Municipal,,1,,
,MX,XAL,XAL,,Alamos,,,,,,,Алармос,,,,Алармос,,,,1,,
,US,ALS,ALS,CO,Alamosa Mnpl,,,Alamosa Municipal,Alamosa Municipal,Alamosa Municipal,,Аламоса Мунисипал,,,,Аламоса Мунисипал,,Alamosa Municipal,,1,,
,ES,ABC,ABC,,Albacete,,,Vliegveld,Airport,Aéroport,,Лос-Льянос,,,,Лос-Льянос,,Aeropuerto,,1,,
,AU,ALH,ALH,WA,Albany,,,,,,,Албани,,,,Албани,,,,1,,
,US,ALB,ALB,NY,Albany Intl Apt,,,Albany International,Albany International,Albany International,,Албани Каунти,,,,Албани Каунти,,Albany Internacional,,1,,
,US,ABY,NAB,GA,Albany Nas,,,,,,,Албани,,,,Албани,,,,1,,
,US,CHO,CHO,VA,Albemarl,,,,,,,Албемарт,,,,Албемарт,,,,1,,
,IT,ALL,ALL,,Albenga,,,,,,,Албенга,,,,Албенга,,,,1,,
,US,AEL,AEL,MN,Albert Lea,,,,,,,Альберт-Ли,,,,Альберт-Ли,,,,1,,
,US,FEP,FEP,IL,Albertus,,,,,,,Альбертус,,,,Альбертус,,,,1,,
,CA,JHL,JHL,AB,Albian,,,,,,,,,,,,,,,1,,
,SR,ABN,ABN,,Albina,,,,,,,Альбина,,,,Альбина,,,,1,,
,YE,BUK,BUK,,Albuq,,,,,,,Альбук,,,,Альбук,,Al Buq,,1,,
,US,ABQ,ABQ,NM,Albuquerque Intl,,,Albuquerque International,Albuquerque International,Albuquerque International,,Альбукерке Интернешнл,,,,Альбукерке Интернешнл,,Albuquerque Internacional,,1,,
,AU,ABX,ABX,NS,Albury,,,,,,,Элбэри,,,,Элбэри,,,,1,,
,RU,ADH,ADH,,Aldan,,,,,,,Алдан,,,,Алдан,,,,1,,
,MR,LEG,LEG,,Aleg,,,,,,,Алег,,,,Алег,,,,1,,
,PY,AGT,AGT,,Alejo Garci,,,Alejo Garcia,Alejo Garcia,Alejo Garcia,,Алехо Гарси,,,,Алехо Гарси,,Alejo Garcia,,1,,
,US,WKK,WKK,AK,Aleknagik,,,,,,,Алекнагик,,,,Алекнагик,,,,1,,
,US,AED,AED,AK,Aleneva,,,,,,,Аленева,,,,Аленева,,,,1,,
,BR,ALT,ALT,PA,Alenquer,,,,,,,Аленкер,,,,Аленкер,,,,1,,
,CA,YLT,YLT,NU,Alert,,,,,,,Алерт,,,,Алерт,,,,1,,
,CA,YAL,YAL,BC,Alert Bay,,,,,,,Алерт-Бей,,,,Алерт-Бей,,,,1,,
,PE,ALD,ALD,,Alerta,,,,,,,Алерта,,,,Алерта,,,,1,,
,GR,JSI,JSI,,Alex Papadiamantis,,,Skiathos,Skiathos,Skiathos,,Скиатлос,,,,Скиатлос,,Skiathos,,1,,
,US,ISW,ISW,WI,Alexan,,,,,,,Алексан,,,,Алексан,,,,1,,
,MK,SKP,SKP,,Alexander The Great,,,,,,,Скопье,,,,Скопье,,,,1,,
,NZ,ALR,ALR,,Alexandra,,,,,,,Алекзандра,,,,Алекзандра,,,,1,,
,US,AXN,AXN,MN,Alexandria,,,,,,,Александрия,,,,Александрия,,,,1,,
,AU,AXL,AXL,NT,Alexandria,,,,,,,Алекзандрия,,,,Алекзандрия,,,,1,,
,US,AXB,AXB,NY,Alexandria Bay,,,,,,,Александрия-Бей,,,,Александрия-Бей,,,,1,,
,US,AEX,AEX,LA,Alexandria Intl,,,Alexandria International,Alexandria International,Alexandria International,,Александрия Интернешнл,,,,Александрия Интернешнл,,Alexandria Internacional,,1,,
,CO,CLO,CLO,,Alfonso B Aragon,,,Alfonso B. Aragon,Alfonso B. Aragon,Alfonso B. Aragon,,Альфонсо Б. Арагон,,,,Альфонсо Б. Арагон,,Alfonso B. Aragon,,1,,
,CO,VUP,VUP,,Alfonso L Michelsen,,,,,,,Альфонсо Л. Мишелсен,,,,Альфонсо Л. Мишелсен,,,,1,,
,ES,AEI,AEI,,Algeciras,,,,,,,Альгекирас,,,,Альгекирас,,,,1,,
,US,AXG,AXG,IA,Algona,,,,,,,Алгона,,,,Алгона,,,,1,,
,ES,ILD,ILD,,Alguaire,,,,,,,,,,,,,,,1,,
,CN,NGQ,NGQ,,Ali,,,,,,,,,,,,,,,1,,
,ES,ALC,ALC,,Alicante,,,,,,,Аликанте,,,,Аликанте,,,,1,,
,CA,ZAA,ZAA,BC,Alice Arm,,,,,,,Элис Арм,,,,Элис Арм,,,,1,,
,US,ALI,ALI,TX,Alice Intl,,,Alice International,Alice International,Alice International,,Алис Интернешнл,,,,Алис Интернешнл,,Alice Internacional,,1,,
,AU,ASP,ASP,NT,Alice Springs,,,,,,,Элис Спрингс,,,,Элис Спрингс,,,,1,,
,DJ,AII,AII,,Alisabieh,,,,,,,Алисабайх,,,,Алисабайх,,,,1,,
,US,ALZ,ALZ,AK,Alitak Spb,,,,,,,Алитак,,,,Алитак,,,,1,,
,YE,AJO,AJO,,Aljouf,,,,,,,Альюф,,,,Альюф,,,,1,,
,US,AET,AET,AK,Allakaket,,,,,,,Аллакакет,,,,Аллакакет,,,,1,,
,ZA,ADY,ADY,,Alldays,,,,,,,Оллдейз,,,,Оллдейз,,,,1,,
,US,PIT,AGC,PA,Allegheny Cou,,,Allegheny,Allegheny,Allegheny,,Аллегени,,,,Аллегени,,Allegheny,,1,,
,US,AOH,AOH,OH,Allen County,,,,,,,Аллен Каунти,,,,Аллен Каунти,,,,1,,
,US,ABE,ABE,PA,Allentown Bthlehm,,,Allentown Bethlehem,Allentown Bethlehem,Allentown Bethlehem,,Аллентаун,,,,Аллентаун,,Allentown Bethlehem,,1,,
,DE,FMM,FMM,,Allgaeu,,,Allgäu,,,,,,,,,,,,1,,
,US,AIA,AIA,NE,Alliance,,,,,,,Альянс,,,,Альянс,,,,1,,
,GL,QFJ,QFJ,,Alluitsup,,,,,,,Аллутсуп,,,,Аллутсуп,,,,1,,
,GL,LLU,LLU,,Alluitsup Paa,,,,,,,Аллутсуп-Паа,,,,Аллутсуп-Паа,,,,1,,
,CA,YTF,YTF,QC,Alma,,,,,,,Альма,,,,Альма,,,,1,,
,KZ,ALA,ALA,,Almaty,,,,,,,Алматы,,,,Алма-Ата,,,,1,,
,BR,AMJ,AMJ,MG,Almenara,,,,,,,Алменара,,,,Алменара,,,,1,,
,ES,LEI,LEI,,Almeria,,,,,,,Альмерия,,,,Альмерия,,,,1,,
,IN,IXV,IXV,,Along,,,,,,,Алонг,,,,Алонг,,,,1,,
,ID,ARD,ARD,,Alor Island,,,,,,,Алор-Айленд,,,,Алор-Айленд,,,,1,,
,MY,AOR,AOR,,Alor Setar,,,,,,,Алор-Сетар,,,,Алор-Сетар,,,,1,,
,GA,AWE,AWE,,Alowe,,,,,,,Алове,,,,Алове,,,,1,,
,AU,ABH,ABH,QL,Alpha,,,,,,,Альфа,,,,Альфа,,,,1,,
,US,ALE,ALE,TX,Alpine,,,,,,,Альпайн,,,,Альпайн,,,,1,,
,AU,AYD,AYD,NT,Alroy Downs,,,,,,,Элрой Даунс,,,,Элрой Даунс,,,,1,,
,NO,ALF,ALF,,Alta,,,,,,,Альта,,,,Альта,,,,1,,
,BR,AFL,AFL,MT,Alta Floresta,,,,,,,Алта-Флореста,,,,Алта-Флореста,,,,1,,
,CA,YAE,YAE,BC,Alta Lake,,,,,,,Альта-Лейк,,,,Альта-Лейк,,,,1,,
,MN,LTI,LTI,,Altai,,,,,,,Алтай,,,,Алтай,,,,1,,
,BR,ATM,ATM,PA,Altamira,,,,,,,Алтамира,,,,Алтамира,,,,1,,
,CN,AAT,AAT,,Altay,,,,,,,Алтай,,,,Алтай,,,,1,,
,DE,AOC,AOC,,Altenburg Nobitz,,,,,,,Альтенбург Нобиц,,,,Альтенбург Нобиц,,,,1,,
,MZ,AME,AME,,Alto Molocue,,,,,,,Альто-Молокуэ,,,,Альто-Молокуэ,,,,1,,
,CL,WAP,WAP,,Alto Palena,,,,,,,Альто-Палена,,,,Альто-Палена,,,,1,,
,BR,APY,APY,MA,Alto Parnaiba,,,,,,,Алту-Парнаиба,,,,Алту-Парнаиба,,,,1,,
,AR,ARR,ARR,CB,Alto Rio Senguerr,,,,,,,Альто-Рио-Сенгерр,,,,Альто-Рио-Сенгерр,,,,1,,
,US,ALN,ALN,IL,Alton,,,,,,,Алтон,,,,Алтон,,,,1,,
,AU,AWN,AWN,SA,Alton Downs,,,,,,,Элтон Даунс,,,,Элтон Даунс,,,,1,,
,US,AOO,AOO,PA,Altoona,,,,,,,Алтуна,,,,Алтуна,,,,1,,
,US,LTS,LTS,OK,Altus Afb,,,,,,,Алтус,,,,Алтус,,,,1,,
,US,LTS,AXS,OK,Altus Mnpl,,,Altus Municipal,Altus Municipal,Altus Municipal,,Алтус Мунисипал,,,,Алтус Мунисипал,,Altus Municipal,,1,,
,SO,ALU,ALU,,Alula,,,,,,,Алула,,,,Алула,,,,1,,
,MX,ACA,ACA,,Alvarez Intl,,,Alvarez International,Alvarez International,Alvarez International,,Алварес Интернешнл,,,,Алварес Интернешнл,,Alvarez Internacional,,1,,
,AU,GTE,GTE,NT,Alyangula,,,,,,,Альянгула,,,,Альянгула,,,,1,,
,US,AQY,AQY,AK,Alyeska,,,,,,,Альеска,,,,Альеска,,,,1,,
,RU,NSK,NSK,,Alykel,,,,,,,Норильск,,,,Норильск,,,,1,,
,TD,AMC,AMC,,Am Timan,,,,,,,Ам-Тиман,,,,Ам-Тиман,,,,1,,
,PG,AMF,AMF,,Ama,,,,,,,Ама,,,,Ама,,,,1,,
,ID,AHI,AHI,,Amahai,,,,,,,Амахаи,,,,Амахаи,,,,1,,
